id,value,rate,,,rate1,,
BoxOffice.2006.Biography,162586036,2.4,,,8,3.8,17.1
BoxOffice.2006.Comedy,483546350,1.8,,,6.475,2.275,10.2375
BoxOffice.2006.Crime,132373442,3,,,8.5,4.3,19.35
BoxOffice.2006.Drama,432299624,2.4,,,7.633333333,3.433333333,15.45
BoxOffice.2006.Mystery,217536138,1.8,,,6.6,2.4,10.8
BoxOffice.2006.Thriller,217536138,1.8,,,6.6,2.4,10.8
BoxOffice.2007.Action,1598353446,1.8,,,6.785714286,2.585714286,11.63571429
BoxOffice.2007.Adventure,2026975407,1.8,,,6.82,2.62,11.79
BoxOffice.2007.Animation,927600864,1.8,,,6.675,2.475,11.1375
BoxOffice.2007.Biography,130127620,2.4,,,7.8,3.6,16.2
BoxOffice.2007.Comedy,856069744,1.8,,,6.858333333,2.658333333,11.9625
BoxOffice.2007.Crime,130127620,2.4,,,7.8,3.6,16.2
BoxOffice.2007.Drama,399879056,1.8,,,7.35,3.15,14.175
BoxOffice.2007.Family,292000866,2.4,,,7.5,3.3,14.85
BoxOffice.2007.Horror,256386216,1.8,,,7.2,3,13.5
BoxOffice.2007.Mystery,227137090,2.4,,,8.1,3.9,17.55
BoxOffice.2007.Romance,148734225,1.8,,,7,2.8,12.6
BoxOffice.2008.Action,996620188,2.4,,,8.15,3.95,17.775
BoxOffice.2008.Adventure,318298180,2.4,,,7.9,3.7,16.65
BoxOffice.2008.Animation,2283276,2.4,,,8,3.8,17.1
BoxOffice.2008.Biography,5241254,2.4,,,7.9,3.7,16.65
BoxOffice.2008.Comedy,7757130,2.4,,,8,3.8,17.1
BoxOffice.2008.Crime,579743454,2.4,,,7.975,3.775,16.9875
BoxOffice.2008.Drama,409736332,2.4,,,7.82,3.62,16.29
BoxOffice.2008.Fantasy,127490802,2.4,,,7.8,3.6,16.2
BoxOffice.2008.Romance,211271019,2.4,,,7.85,3.65,16.425
BoxOffice.2008.Sport,26236603,2.4,,,7.9,3.7,16.65
BoxOffice.2008.Thriller,145000989,2.4,,,7.9,3.7,16.65
BoxOffice.2008.War,9030581,2.4,,,7.8,3.6,16.2
BoxOffice.2009.Action,2370207140,1.8,,,6.9375,2.7375,12.31875
BoxOffice.2009.Adventure,3439011031,1.8,,,6.75625,2.55625,11.503125
BoxOffice.2009.Animation,512592947,1.2,,,6.4,2.2,9.9
BoxOffice.2009.Biography,255950375,2.4,,,7.7,3.5,15.75
BoxOffice.2009.Comedy,396857112,0.6,,,5.2,1,4.5
BoxOffice.2009.Drama,552574009,1.2,,,6.15,1.95,8.775
BoxOffice.2009.Family,301956980,2.4,,,7.5,3.3,14.85
BoxOffice.2010.Action,1088207722,1.8,,,7.14,2.94,13.23
BoxOffice.2010.Adventure,2817161594,1.8,,,7.107142857,2.907142857,13.08214286
BoxOffice.2010.Animation,1471390925,2.4,,,7.65,3.45,15.525
BoxOffice.2010.Comedy,399885425,1.8,,,6.6,2.4,10.8
BoxOffice.2010.Drama,471554460,1.2,,,6.3,2.1,9.45
BoxOffice.2010.Family,334185206,1.8,,,6.5,2.3,10.35
BoxOffice.2010.Romance,148383780,1.2,,,5.5,1.3,5.85
BoxOffice.2011.Action,327251144,2.4,,,7.666666667,3.466666667,15.6
BoxOffice.2011.Adventure,146405371,2.4,,,7.8,3.6,16.2
BoxOffice.2011.Biography,75605492,2.4,,,7.6,3.4,15.3
BoxOffice.2011.Comedy,136447724,2.4,,,7.8,3.6,16.2
BoxOffice.2011.Crime,142872577,2.4,,,7.666666667,3.466666667,15.6
BoxOffice.2011.Documentary,2601847,3,,,8.5,4.3,19.35
BoxOffice.2011.Drama,491964759,2.4,,,7.914285714,3.714285714,16.71428571
BoxOffice.2011.Fantasy,56816662,2.4,,,7.7,3.5,15.75
BoxOffice.2011.Music,2601847,3,,,8.5,4.3,19.35
BoxOffice.2011.Mystery,7098492,2.4,,,8.4,4.2,18.9
BoxOffice.2011.Romance,469947,2.4,,,7.7,3.5,15.75
BoxOffice.2011.Sport,13651662,2.4,,,8.2,4,18
BoxOffice.2012.Action,1816821983,2.4,,,7.64,3.44,15.48
BoxOffice.2012.Adventure,3176369763,1.8,,,7.226785714,3.026785714,13.62053571
BoxOffice.2012.Animation,804379015,1.8,,,7.125,2.925,13.1625
BoxOffice.2012.Biography,182204440,1.8,,,7.4,3.2,14.4
BoxOffice.2012.Comedy,218628680,1.8,,,7,2.8,12.6
BoxOffice.2012.Drama,1045307266,2.4,,,7.616666667,3.416666667,15.375
BoxOffice.2012.Fantasy,521629909,2.4,,,7.45,3.25,14.625
BoxOffice.2012.Thriller,448130642,3,,,8.5,4.3,19.35
BoxOffice.2012.Western,162804648,3,,,8.5,4.3,19.35
BoxOffice.2013.Action,1497060050,1.8,,,7.15,2.95,13.275
BoxOffice.2013.Adventure,2961215554,1.8,,,7.321666667,3.121666667,14.0475
BoxOffice.2013.Animation,1224440110,2.4,,,7.45,3.25,14.625
